Species,Sample,Value
Planctomycetes,3EP17,0
Planctomycetes,3EP18,0
Planctomycetes,3EP19,0
Planctomycetes,3EP20,0
Planctomycetes,3EP21,0
Planctomycetes,3EP22,0
Planctomycetes,3EP23,0
Planctomycetes,3EP24,0
Planctomycetes,3EP25,0
Planctomycetes,3EP26,8.62E-04
Planctomycetes,3EP27,9.17E-04
Acidobacteria,3EP1,8.33E-04
Acidobacteria,3EP2,0
Acidobacteria,3EP3,8.31E-04
Acidobacteria,3EP4,0
Acidobacteria,3EP5,0
Acidobacteria,3EP6,0
Acidobacteria,3EP7,0
Acidobacteria,3EP8,0
Acidobacteria,3EP9,0
Acidobacteria,3EP10,0
Acidobacteria,3EP11,0
Acidobacteria,3EP12,0
Acidobacteria,3EP13,9.39E-04
Acidobacteria,3EP14,8.54E-04
Acidobacteria,3EP15,0
Acidobacteria,3EP16,0
Acidobacteria,3EP17,0
Acidobacteria,3EP18,0
Acidobacteria,3EP19,0
Acidobacteria,3EP20,0
Acidobacteria,3EP21,0
Acidobacteria,3EP22,0
Acidobacteria,3EP23,0
Acidobacteria,3EP24,0
Acidobacteria,3EP25,0
Acidobacteria,3EP26,8.62E-04
Acidobacteria,3EP27,0
Fusobacteria,3EP1,0
Fusobacteria,3EP2,0
Fusobacteria,3EP3,0
Fusobacteria,3EP4,0
Fusobacteria,3EP5,0
Fusobacteria,3EP6,0
Fusobacteria,3EP7,0
Fusobacteria,3EP8,0
Fusobacteria,3EP9,0
Fusobacteria,3EP10,0
Fusobacteria,3EP11,0
Fusobacteria,3EP12,0
Fusobacteria,3EP13,0
Fusobacteria,3EP14,0
Fusobacteria,3EP15,0
Fusobacteria,3EP16,0
Fusobacteria,3EP17,0
Fusobacteria,3EP18,0
Fusobacteria,3EP19,0
Fusobacteria,3EP20,0
Fusobacteria,3EP21,0
Fusobacteria,3EP22,0
Fusobacteria,3EP23,0
Fusobacteria,3EP24,0
Fusobacteria,3EP25,0
Fusobacteria,3EP26,0.002585159
Fusobacteria,3EP27,0
Chlamydiae,3EP1,0
Chlamydiae,3EP2,8.45E-04
Chlamydiae,3EP3,0
Chlamydiae,3EP4,0
Chlamydiae,3EP5,0
Chlamydiae,3EP6,0
Chlamydiae,3EP7,0
Chlamydiae,3EP8,0
Chlamydiae,3EP9,0
Chlamydiae,3EP10,0
Chlamydiae,3EP11,9.26E-04
Chlamydiae,3EP12,0
Chlamydiae,3EP13,0
Chlamydiae,3EP14,0
Chlamydiae,3EP15,0
Chlamydiae,3EP16,0
Chlamydiae,3EP17,0
Chlamydiae,3EP18,0
Chlamydiae,3EP19,0
Chlamydiae,3EP20,0
Chlamydiae,3EP21,0
Chlamydiae,3EP22,0
Chlamydiae,3EP23,0
Chlamydiae,3EP24,0
Chlamydiae,3EP25,0
Chlamydiae,3EP26,0
Chlamydiae,3EP27,0
Lentisphaerae,3EP1,0
Lentisphaerae,3EP2,0
Lentisphaerae,3EP3,0
Lentisphaerae,3EP4,0
Lentisphaerae,3EP5,0
Lentisphaerae,3EP6,0
Lentisphaerae,3EP7,0
Lentisphaerae,3EP8,0
Lentisphaerae,3EP9,0
Lentisphaerae,3EP10,9.57E-04
Lentisphaerae,3EP11,0
Lentisphaerae,3EP12,0
Lentisphaerae,3EP13,0
Lentisphaerae,3EP14,0
Lentisphaerae,3EP15,0
Lentisphaerae,3EP16,0
Lentisphaerae,3EP17,0
Lentisphaerae,3EP18,0
Lentisphaerae,3EP19,0
Lentisphaerae,3EP20,0
Lentisphaerae,3EP21,0
Lentisphaerae,3EP22,0
Lentisphaerae,3EP23,0
Lentisphaerae,3EP24,0
Lentisphaerae,3EP25,0
Lentisphaerae,3EP26,0
Lentisphaerae,3EP27,0
Gemmatimonadetes,3EP1,0
Gemmatimonadetes,3EP2,0
Gemmatimonadetes,3EP3,0
Gemmatimonadetes,3EP4,0
Gemmatimonadetes,3EP5,0
Gemmatimonadetes,3EP6,0
Gemmatimonadetes,3EP7,0
Gemmatimonadetes,3EP8,0
Gemmatimonadetes,3EP9,0
Gemmatimonadetes,3EP10,0
Gemmatimonadetes,3EP11,0
Gemmatimonadetes,3EP12,0
Gemmatimonadetes,3EP13,9.39E-04
Gemmatimonadetes,3EP14,0
Gemmatimonadetes,3EP15,0
Gemmatimonadetes,3EP16,0
Gemmatimonadetes,3EP17,0
Gemmatimonadetes,3EP18,0
Gemmatimonadetes,3EP19,0
Gemmatimonadetes,3EP20,0
Gemmatimonadetes,3EP21,0
Gemmatimonadetes,3EP22,0
Gemmatimonadetes,3EP23,0
Gemmatimonadetes,3EP24,0
Gemmatimonadetes,3EP25,0
Gemmatimonadetes,3EP26,0
Gemmatimonadetes,3EP27,0
Chloroflexi,3EP1,0
Chloroflexi,3EP2,0
Chloroflexi,3EP3,0
Chloroflexi,3EP4,0
Chloroflexi,3EP5,0
Chloroflexi,3EP6,0
Chloroflexi,3EP7,0
Chloroflexi,3EP8,0
Chloroflexi,3EP9,0
Chloroflexi,3EP10,0
Chloroflexi,3EP11,0
Chloroflexi,3EP12,8.80E-04
Chloroflexi,3EP13,0
Chloroflexi,3EP14,0
Chloroflexi,3EP15,0
Chloroflexi,3EP16,0
Chloroflexi,3EP17,0
Chloroflexi,3EP18,0
Chloroflexi,3EP19,0
Chloroflexi,3EP20,0
Chloroflexi,3EP21,0
Chloroflexi,3EP22,0
Chloroflexi,3EP23,0
Chloroflexi,3EP24,0
Chloroflexi,3EP25,0
Chloroflexi,3EP26,0
Chloroflexi,3EP27,0
Euryarchaeota,3EP1,0
Euryarchaeota,3EP2,0
Euryarchaeota,3EP3,0
Euryarchaeota,3EP4,0
Euryarchaeota,3EP5,0
Euryarchaeota,3EP6,0
Euryarchaeota,3EP7,0
Euryarchaeota,3EP8,0
Euryarchaeota,3EP9,0
Euryarchaeota,3EP10,0
Euryarchaeota,3EP11,0
Euryarchaeota,3EP12,0
Euryarchaeota,3EP13,0
Euryarchaeota,3EP14,0
Euryarchaeota,3EP15,0
Euryarchaeota,3EP16,0
Euryarchaeota,3EP17,0
Euryarchaeota,3EP18,0
Euryarchaeota,3EP19,0
Euryarchaeota,3EP20,0
Euryarchaeota,3EP21,8.24E-04
Euryarchaeota,3EP22,0
Euryarchaeota,3EP23,0
Euryarchaeota,3EP24,0
Euryarchaeota,3EP25,0
Euryarchaeota,3EP26,0
Euryarchaeota,3EP27,0
Spirochaetes,3EP1,0
Spirochaetes,3EP2,0
Spirochaetes,3EP3,0
Spirochaetes,3EP4,0
Spirochaetes,3EP5,0
Spirochaetes,3EP6,0
Spirochaetes,3EP7,0
Spirochaetes,3EP8,0
Spirochaetes,3EP9,0
Spirochaetes,3EP10,0
Spirochaetes,3EP11,0
Spirochaetes,3EP12,0
Spirochaetes,3EP13,0
Spirochaetes,3EP14,0
Spirochaetes,3EP15,0
Spirochaetes,3EP16,0
Spirochaetes,3EP17,0
Spirochaetes,3EP18,0
Spirochaetes,3EP19,0
Spirochaetes,3EP20,0
Spirochaetes,3EP21,0
Spirochaetes,3EP22,0
Spirochaetes,3EP23,0
Spirochaetes,3EP24,0
Spirochaetes,3EP25,0
Spirochaetes,3EP26,0
Spirochaetes,3EP27,0
Synergistetes,3EP1,0
Synergistetes,3EP2,0
Synergistetes,3EP3,0
Synergistetes,3EP4,0
Synergistetes,3EP5,0
Synergistetes,3EP6,0
Synergistetes,3EP7,0
Synergistetes,3EP8,0
Synergistetes,3EP9,0
Synergistetes,3EP10,0
Synergistetes,3EP11,0
Synergistetes,3EP12,0
Synergistetes,3EP13,0
Synergistetes,3EP14,0
Synergistetes,3EP15,0
Synergistetes,3EP16,0
Synergistetes,3EP17,0
Synergistetes,3EP18,0
Synergistetes,3EP19,0
Synergistetes,3EP20,0
Synergistetes,3EP21,0
Synergistetes,3EP22,0
Synergistetes,3EP23,0
Synergistetes,3EP24,0
Synergistetes,3EP25,0
Synergistetes,3EP26,0
Synergistetes,3EP27,0
Chlorobi,3EP1,0
Chlorobi,3EP2,0
Chlorobi,3EP3,0
Chlorobi,3EP4,0
Chlorobi,3EP5,0
Chlorobi,3EP6,0
Chlorobi,3EP7,0
Chlorobi,3EP8,0
Chlorobi,3EP9,0
Chlorobi,3EP10,0
Chlorobi,3EP11,0
Chlorobi,3EP12,0
Chlorobi,3EP13,0
Chlorobi,3EP14,0
Chlorobi,3EP15,0
Chlorobi,3EP16,0
Chlorobi,3EP17,0
Chlorobi,3EP18,0
Chlorobi,3EP19,0
Chlorobi,3EP20,0
Chlorobi,3EP21,0
Chlorobi,3EP22,0
Chlorobi,3EP23,0
Chlorobi,3EP24,0
Chlorobi,3EP25,0
Chlorobi,3EP26,0
Chlorobi,3EP27,0
Not assigned at this rank,3EP1,5.118038085
Not assigned at this rank,3EP2,2.746691217
Not assigned at this rank,3EP3,5.610791325
Not assigned at this rank,3EP4,8.783651603
Not assigned at this rank,3EP5,3.528523192
Not assigned at this rank,3EP6,3.379060963
Not assigned at this rank,3EP7,4.632769423
Not assigned at this rank,3EP8,2.506099946
Not assigned at this rank,3EP9,3.821689424
Not assigned at this rank,3EP10,2.682828747
Not assigned at this rank,3EP11,3.626046064
Not assigned at this rank,3EP12,3.852888126
Not assigned at this rank,3EP13,4.745679986
Not assigned at this rank,3EP14,3.051284459
Not assigned at this rank,3EP15,3.074025698
Not assigned at this rank,3EP16,3.35089568
Not assigned at this rank,3EP17,1.242389337
Not assigned at this rank,3EP18,6.066068992
Not assigned at this rank,3EP19,4.264798809
Not assigned at this rank,3EP20,17.65295795
Not assigned at this rank,3EP21,3.39411818
Not assigned at this rank,3EP22,7.134894091
Not assigned at this rank,3EP23,9.057936229
Not assigned at this rank,3EP24,4.621985967
Not assigned at this rank,3EP25,3.699252251
Not assigned at this rank,3EP26,2.954837264
Not assigned at this rank,3EP27,2.766388744
No hit,3EP1,2.38825117
No hit,3EP2,2.591281874
No hit,3EP3,2.819931391
No hit,3EP4,2.945690939
No hit,3EP5,2.506664297
No hit,3EP6,1.969466658
No hit,3EP7,2.917555115
No hit,3EP8,2.137309318
No hit,3EP9,2.521246162
No hit,3EP10,2.651232263
No hit,3EP11,2.390209583
No hit,3EP12,3.539659496
No hit,3EP13,2.542730831
No hit,3EP14,2.386217141
No hit,3EP15,2.431072365
No hit,3EP16,2.390937829
No hit,3EP17,2.840400051
No hit,3EP18,2.944845059
No hit,3EP19,2.354100397
No hit,3EP20,2.486889318
No hit,3EP21,3.614130211
No hit,3EP22,2.829323552
No hit,3EP23,2.54104394
No hit,3EP24,3.794218013
No hit,3EP25,3.303486346
No hit,3EP26,2.706661956
No hit,3EP27,3.887253148
Not assigned due to threshold,3EP1,0.878829782
Not assigned due to threshold,3EP2,0.42822031
Not assigned due to threshold,3EP3,0.552357695
Not assigned due to threshold,3EP4,0.627511173
Not assigned due to threshold,3EP5,0.831704283
Not assigned due to threshold,3EP6,0.49755941
Not assigned due to threshold,3EP7,0.492208268
Not assigned due to threshold,3EP8,0.421874127
Not assigned due to threshold,3EP9,0.30493875
Not assigned due to threshold,3EP10,0.959384156
Not assigned due to threshold,3EP11,0.52766052
Not assigned due to threshold,3EP12,1.113017465
Not assigned due to threshold,3EP13,0.619491454
Not assigned due to threshold,3EP14,1.011687768
Not assigned due to threshold,3EP15,0.596377186
Not assigned due to threshold,3EP16,1.003161222
Not assigned due to threshold,3EP17,0.50646335
Not assigned due to threshold,3EP18,0.435587605
Not assigned due to threshold,3EP19,0.412342426
Not assigned due to threshold,3EP20,0.539148036
Not assigned due to threshold,3EP21,0.38811111
Not assigned due to threshold,3EP22,0.277807746
Not assigned due to threshold,3EP23,0.237889504
Not assigned due to threshold,3EP24,0.284932371
Not assigned due to threshold,3EP25,0.579483701
Not assigned due to threshold,3EP26,0.558394444
Not assigned due to threshold,3EP27,3.104849435
Not assigned via GI,3EP1,0
Not assigned via GI,3EP2,0
Not assigned via GI,3EP3,0
Not assigned via GI,3EP4,0
Not assigned via GI,3EP5,0
Not assigned via GI,3EP6,0
Not assigned via GI,3EP7,0
Not assigned via GI,3EP8,0
Not assigned via GI,3EP9,0
Not assigned via GI,3EP10,0
Not assigned via GI,3EP11,0
Not assigned via GI,3EP12,0
Not assigned via GI,3EP13,0
Not assigned via GI,3EP14,0
Not assigned via GI,3EP15,0
Not assigned via GI,3EP16,0
Not assigned via GI,3EP17,0
Not assigned via GI,3EP18,0
Not assigned via GI,3EP19,0
Not assigned via GI,3EP20,0
Not assigned via GI,3EP21,0
Not assigned via GI,3EP22,0
Not assigned via GI,3EP23,0
Not assigned via GI,3EP24,0
Not assigned via GI,3EP25,0
Not assigned via GI,3EP26,0
Not assigned via GI,3EP27,0
